Stair.thisTrialN,Stair.stepSize,Stair.intensity,corrAns,tilt,key_resp.corr,Stair.response,key_resp.rt,tilt (pos for graph),,
,,,,,,,,,,
0,2,10,right,10,1,1,0.626030791,10,Threshold Value,4.5
1,2,8,left,-8,1,1,0.430237375,8,"(Last 5 reversals, positive values, levels need to change)",
2,2,6,left,-6,1,1,0.36311575,6,,
3,2,4,right,4,1,1,0.373838208,4,,
4,2,2,right,2,1,1,0.355361042,2,,
5,1,1,right,1,0,0,1.778756083,1,,
6,1,2,left,-2,1,1,0.556194292,2,,
7,1,2,left,-2,1,1,0.510465375,2,,
8,1,2,left,-2,1,1,0.446492208,2,,
9,1,1,left,-1,1,1,0.529887042,1,,
10,1,1,left,-1,1,1,0.396362334,1,,
11,1,1,left,-1,1,1,0.442340625,1,,
12,1,1,left,-1,1,1,0.4856145,1,,
13,1,1,right,1,1,1,0.729994875,1,,
14,1,1,right,1,1,1,0.518755292,1,,
15,1,1,left,-1,1,1,0.496678958,1,,
16,0.5,1,right,1,0,0,0.413256208,1,,
17,0.5,1.5,right,1.5,1,1,0.543250166,1.5,,
18,0.5,1.5,left,-1.5,0,0,0.652617125,1.5,,
19,0.5,2,right,2,1,1,0.911127458,2,,
20,0.5,2,right,2,1,1,1.815789292,2,,
21,0.5,2,left,-2,1,1,0.452716958,2,,
22,0.5,1.5,left,-1.5,1,1,0.437763667,1.5,,
23,0.5,1.5,right,1.5,0,0,0.463761541,1.5,,
24,0.5,2,right,2,1,1,0.415613416,2,,
25,0.5,2,left,-2,1,1,0.521274875,2,,
26,0.5,2,right,2,1,1,0.448215542,2,,
27,0.5,1.5,right,1.5,1,1,0.439616292,1.5,,
28,0.5,1.5,left,-1.5,0,0,0.453278958,1.5,,
29,0.5,2,left,-2,1,1,0.543322334,2,,
30,0.5,2,right,2,1,1,0.483595792,2,,
31,0.5,2,right,2,1,1,0.547966792,2,,
32,0.5,1.5,right,1.5,1,1,0.444849292,1.5,,
33,0.5,1.5,right,1.5,1,1,0.437368708,1.5,,
34,0.5,1.5,left,-1.5,1,1,0.457690791,1.5,,
35,0.5,1,right,1,1,1,0.479648583,1,,
36,0.5,1,left,-1,1,1,0.435864541,1,,
37,0.5,1,right,1,1,1,0.462210542,1,,
38,0.5,1,right,1,1,1,0.511433292,1,,
39,0.5,1,left,-1,0,0,0.532775,1,,
40,0.5,1.5,right,1.5,1,1,0.587675541,1.5,,
41,0.5,1.5,right,1.5,1,1,1.059411792,1.5,,
42,0.5,1.5,right,1.5,1,1,0.754567209,1.5,,
43,0.5,1,right,1,1,1,0.453549167,1,,
44,0.5,1,left,-1,1,1,0.513688625,1,,
45,0.5,1,right,1,1,1,0.402824125,1,,
46,0.5,1,left,-1,1,1,0.447178375,1,,
47,0.5,1,left,-1,0,0,0.468596667,1,,
48,0.5,1.5,right,1.5,1,1,0.482154375,1.5,,
49,0.5,1.5,right,1.5,1,1,0.43014075,1.5,,
50,0.5,1.5,right,1.5,1,1,0.352685459,1.5,,
51,0.5,1,right,1,1,1,0.403846167,1,,
52,0.5,1,left,-1,0,0,0.439937333,1,,
53,0.5,1.5,right,1.5,1,1,0.542175083,1.5,,
54,0.5,1.5,left,-1.5,0,0,0.4215275,1.5,,
55,0.5,2,left,-2,1,1,0.463999584,2,,
56,0.5,2,right,2,0,0,0.378275917,2,,
57,0.5,2.5,left,-2.5,1,1,0.426134125,2.5,,
58,0.5,2.5,left,-2.5,1,1,0.585608834,2.5,,
59,0.5,2.5,right,2.5,1,1,0.509155291,2.5,,
60,0.5,2,left,-2,1,1,0.552056084,2,,
61,0.5,2,right,2,1,1,0.622356333,2,,
62,0.5,2,left,-2,1,1,0.474380709,2,,
63,0.5,1.5,right,1.5,1,1,0.491063917,1.5,,
