ANALYSIS ON NEXT SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Ins.started,text_2.started,key_resp_2.started,Ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,key_resp.started,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thanks.started,text.started,text.stopped,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,0.074325584,0.127505084,0.127505084,11.75824775,space,11.62695717,None,,,,,,,,,,,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
0,0,0,0,11.83447037,,,,,,,,,11.76614667,11.83447037,12.76649558,12.76649558,13.26915908,-3,down,1,0.498185958,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
1,0,1,0,13.28199692,,,,,,,,,13.27158242,13.28199692,14.26794142,14.26794142,14.70726579,0,down,0,0.436336125,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
2,0,2,0,14.73209321,,,,,,,,,14.70934325,14.73209321,15.70700837,15.70700837,16.89022329,-1,up,0,1.180820458,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
3,0,3,0,16.90087271,,,,,,,,,16.89224304,16.90087271,17.88992375,17.88992375,18.71900654,4,down,1,0.82568875,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
4,0,4,0,18.72584604,,,,,,,,,18.7209285,18.72584604,19.718162,19.718162,20.35630521,1,up,0,0.635391416,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
5,0,5,0,20.36785317,,,,,,,,,20.35825979,20.36785317,21.35548392,21.35548392,22.05248042,0,down,0,0.684460042,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
6,0,6,0,22.05942492,,,,,,,,,22.05440725,22.05942492,23.05133967,23.05133967,23.65691592,0,up,0,0.596901667,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
7,0,7,0,23.67294521,,,,,,,,,23.65987387,23.67294521,24.65669621,24.65669621,25.21013908,0,up,1,0.548214333,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
8,0,8,0,25.22586179,,,,,,,,,25.21383171,25.22586179,26.20609733,26.20609733,26.98536604,0,up,1,0.665796375,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
9,0,9,0,26.99167496,,,,,,,,,26.98763179,26.99167496,27.98476817,27.98476817,28.46991508,-4,down,1,0.475716916,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
10,0,10,0,28.47843354,,,,,,,,,28.47197842,28.47843354,29.468416,29.468416,30.55432092,0,down,0,1.078770125,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
11,0,11,0,30.56396883,,,,,,,,,30.55686488,30.56396883,31.55175017,31.55175017,32.32455433,0,up,1,0.769825125,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
12,0,12,0,32.33465271,,,,,,,,,32.32651937,32.33465271,33.32354454,33.32354454,33.92398567,-5,down,1,0.597391667,None,,,,,852027,1,2024-09-13_10h57.47.669,V2,2024.1.5,None,2024-09-13 10h57.54.953201 +0530
