trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text.started,key_resp.started,ins.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,expStart
,,,,,,0.051352875,0.091564125,0.091564125,1.728297709,space,1.588003875,None,,,,,,,,,,,,,,,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
0,0,0,0,1.788158125,,,,,,,,,1.7331805,5,1.788158125,1.788158125,0.027703167,3.009609459,[0.26],[-0.08444444444444445],[1],[0],[0],[1.2532212919322774],['target'],,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
1,0,1,0,3.040021125,,,,,,,,,3.015059459,5,3.040021125,3.040021125,0.015409584,4.351669042,[-0.36666666666666664],[-0.36333333333333334],[1],[0],[0],[1.3218171669868752],['target'],,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
2,0,2,0,4.398909417,,,,,,,,,4.355874792,10,4.398909417,4.398909417,0.028920125,6.05332775,[0.13333333333333333],[-0.4488888888888889],[1],[0],[0],[1.6691339999670163],['target'],,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
3,0,3,0,6.100997125,,,,,,,,,6.057606584,10,6.100997125,6.100997125,0.029660709,7.377346625,[0.06555555555555556],[-0.27],[1],[0],[0],[1.290622083004564],['target'],,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
4,0,4,0,7.406300584,,,,,,,,,7.381570167,5,7.406300584,7.406300584,0.015309958,8.530448292,[-0.39555555555555555],[0.35333333333333333],[1],[0],[0],[1.1341994579415768],['target'],,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
5,0,5,0,8.55990125,,,,,,,,,8.53468075,5,8.55990125,8.55990125,0.015155417,9.457400334,[0.06555555555555556],[0.3688888888888889],[1],[0],[0],[0.9082057090708986],['target'],,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
6,0,6,0,9.504078334,,,,,,,,,9.461631375,10,9.504078334,9.504078334,0.02878125,10.52065337,[0.3611111111111111],[0.20777777777777778],[1],[0],[0],[1.0307206249563023],['target'],,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
7,0,7,0,10.57666837,,,,,,,,,10.525628,10,10.57666837,10.57666837,0.034885875,11.51787008,[0.43666666666666665],[0.4266666666666667],[1],[0],[0],[0.9580357089871541],['target'],,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
8,0,8,0,11.54738479,,,,,,,,,11.52213104,5,11.54738479,11.54738479,0.015540708,12.50786671,[0.4066666666666667],[0.1288888888888889],[1],[0],[0],[0.9708261670311913],['target'],,,,,AK,1,2024-10-04_11h15.24.560,V3,2024.1.5,2024-10-04 11h15.31.543838 +0530
