trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text.started,key_resp.started,ins.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,thanks.started,text_2.started,thanks.stopped,participant,session,date,expName,psychopyVersion,expStart
,,,,,,0.051363583,0.087032,0.087032,1.204948416,space,1.082648666,None,,,,,,,,,,,,,,,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
0,0,0,0,1.295179375,,,,,,,,,1.210374375,10,1.295179375,1.295179375,0.042220334,2.129876416,[0.13],[0.2777777777777778],[1],[0],[0],[0.8823234579758719],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
1,0,1,0,2.160549875,,,,,,,,,2.135320083,5,2.160549875,2.160549875,0.015678542,3.048012666,[0.16555555555555557],[-0.06888888888888889],[1],[0],[0],[0.8976237500319257],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
2,0,2,0,3.076769291,,,,,,,,,3.052070541,5,3.076769291,3.076769291,0.015186,4.356240416,[-0.41333333333333333],[0.29555555555555557],[1],[0],[0],[1.2895417499821633],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
3,0,3,0,4.385334916,,,,,,,,,4.360385541,5,4.385334916,4.385334916,0.015364833,5.82939525,[0.06444444444444444],[-0.43555555555555553],[1],[0],[0],[1.454271416994743],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
4,0,4,0,5.858571958,,,,,,,,,5.833468666,5,5.858571958,5.858571958,0.015055917,6.823346583,[0.29],[0.07333333333333333],[1],[0],[0],[0.975366041995585],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
5,0,5,0,6.872304208,,,,,,,,,6.827467125,10,6.872304208,6.872304208,0.028917459,8.545621875,[0.46555555555555556],[-0.23666666666666666],[1],[0],[0],[1.6898603340378031],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
6,0,6,0,8.592409583,,,,,,,,,8.54970675,10,8.592409583,8.592409583,0.028911417,9.865604791,[0.18222222222222223],[0.11555555555555555],[1],[0],[0],[1.287536958931014],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
7,0,7,0,9.918673875,,,,,,,,,9.869868583,10,9.918673875,9.918673875,0.030927708,11.50703867,[0.45222222222222225],[-0.18888888888888888],[1],[0],[0],[1.6068969160551205],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
8,0,8,0,11.55349583,,,,,,,,,11.51119483,10,11.55349583,11.55349583,0.028532875,12.97688483,[-0.38555555555555554],[0.025555555555555557],[1],[0],[0],[1.4376744169276208],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
9,0,9,0,13.024521,,,,,,,,,12.98120846,10,13.024521,13.024521,0.029262792,14.69699971,[0.4011111111111111],[-0.47555555555555556],[1],[0],[0],[1.6870430420385674],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
10,0,10,0,14.74363325,,,,,,,,,14.70114958,10,14.74363325,14.74363325,0.028848417,16.24728413,[0.4122222222222222],[-0.32555555555555554],[1],[0],[0],[1.5178918750025332],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
11,0,11,0,16.29402971,,,,,,,,,16.25139371,10,16.29402971,16.29402971,0.028931541,17.44397521,[-0.31333333333333335],[-0.2866666666666667],[1],[0],[0],[1.1641899580135942],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
12,0,12,0,17.47410063,,,,,,,,,17.44826871,5,17.47410063,17.47410063,0.015730166,18.65868163,[-0.46],[-0.04555555555555556],[1],[0],[0],[1.1951790420571342],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
13,0,13,0,18.70759875,,,,,,,,,18.66319404,10,18.70759875,18.70759875,0.029641167,19.50490633,[-0.37777777777777777],[0.3411111111111111],[1],[0],[0],[0.8125858749262989],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
14,0,14,0,19.5522995,,,,,,,,,19.50906896,10,19.5522995,19.5522995,0.029239875,20.60999329,[0.06888888888888889],[0.21],[1],[0],[0],[1.0723099999595433],['target'],,,,AN,1,2024-10-04_11h21.46.712,V3,2024.1.5,2024-10-04 11h21.52.492013 +0530
