trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text.started,key_resp.started,ins.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,thanks.started,text_2.started,thanks.stopped,participant,session,date,expName,psychopyVersion,expStart
,,,,,,0.051431833,0.083354666,0.083354666,11.17193725,space,11.08229517,None,,,,,,,,,,,,,,,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
0,0,0,0,11.23511242,,,,,,,,,11.18111021,5,11.23511242,11.23511242,0.04029,14.11785958,[0.10333333333333333],[-0.2922222222222222],[0],[0],[0],[2.9051032920833677],['target'],,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
1,0,1,0,14.16661617,,,,,,,,,14.12324013,10,14.16661617,14.16661617,0.029425166,18.03366079,[-0.19333333333333333],[0.07111111111111111],[0],[0],[0],[3.8815760830184445],['target'],,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
2,0,2,0,18.08069375,,,,,,,,,18.03772363,10,18.08069375,18.08069375,0.029036167,21.30696454,[0.4577777777777778],[0.02],[1],[0],[0],[3.2408024170435965],['target'],,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
3,0,3,0,21.35421929,,,,,,,,,21.31098208,10,21.35421929,21.35421929,0.028834709,24.4121375,[-0.17333333333333334],[0.2644444444444444],[1],[0],[0],[3.072839333093725],['target'],,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
4,0,4,0,24.44200913,,,,,,,,,24.41624858,5,24.44200913,24.44200913,0.0155365,26.67505204,[-0.45555555555555555],[-0.41333333333333333],[1],[0],[0],[2.243880874942988],['target'],,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
5,0,5,0,26.72225604,,,,,,,,,26.67903467,10,26.72225604,26.72225604,0.0290015,29.58345838,[0.2411111111111111],[0.33666666666666667],[1],[0],[0],[2.875846542068757],['target'],,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
6,0,6,0,29.61412296,,,,,,,,,29.58759258,5,29.61412296,29.61412296,0.015676542,31.09157983,[-0.06],[0.013333333333333334],[1],[0],[0],[1.4889190000249073],['target'],,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
7,0,7,0,31.13910838,,,,,,,,,31.09555787,10,31.13910838,31.13910838,0.029117542,33.7200325,[0.47444444444444445],[-0.2477777777777778],[1],[0],[0],[2.5959380409913138],['target'],,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
8,0,8,0,33.76725188,,,,,,,,,33.72409625,10,33.76725188,33.76725188,0.028869584,38.60842067,[-0.21777777777777776],[-0.30333333333333334],[1],[0],[0],[4.856049666996114],['target'],,,,AR,1,2024-10-04_11h35.34.305,V3,2024.1.5,2024-10-04 11h35.49.420678 +0530
