trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text.started,key_resp.started,ins.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,expStart
,,,,,,0.068187792,0.106185625,0.106185625,3.603618958,space,3.495294,None,,,,,,,,,,,,,,,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
0,0,0,0,3.660367792,,,,,,,,,3.612817042,5,3.660367792,3.660367792,0.038236042,4.609748833,[0.13333333333333333],[-0.08222222222222222],[1],[0],[0],[0.9675429590279236],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
1,0,1,0,4.640862208,,,,,,,,,4.615053,5,4.640862208,4.640862208,0.015432166,5.697344583,[0.17222222222222222],[-0.4222222222222222],[1],[0],[0],[1.0674467080971226],[],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
2,0,2,0,5.745033458,,,,,,,,,5.701429833,10,5.745033458,5.745033458,0.029017166,7.009879542,[0.13333333333333333],[0.14333333333333334],[1],[0],[0],[1.2800275420304388],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
3,0,3,0,7.058394167,,,,,,,,,7.013939083,10,7.058394167,7.058394167,0.029742791,8.602245333,[-0.013333333333333334],[0.23222222222222222],[1],[0],[0],[1.5590454579796642],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
4,0,4,0,8.649845292,,,,,,,,,8.606359,10,8.649845292,8.649845292,0.029013375,9.462605333,[-0.09222222222222222],[0.22555555555555556],[1],[0],[0],[0.8277391670271754],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
5,0,5,0,9.492148833,,,,,,,,,9.466688625,5,9.492148833,9.492148833,0.015201833,10.50013063,[0.056666666666666664],[0.46111111111111114],[1],[0],[0],[1.0187912080436945],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
6,0,6,0,10.54796567,,,,,,,,,10.50426429,10,10.54796567,10.54796567,0.029338458,11.69348108,[-0.3188888888888889],[0.024444444444444446],[1],[0],[0],[1.1604799170745537],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
7,0,7,0,11.72305096,,,,,,,,,11.69755313,5,11.72305096,11.72305096,0.015240041,15.35736675,[-0.31555555555555553],[0.034444444444444444],[1],[0],[0],[3.6451487080194056],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
8,0,8,0,15.38794842,,,,,,,,,15.36153658,5,15.38794842,15.38794842,0.015716417,16.45653758,[0.1288888888888889],[-0.2611111111111111],[1],[0],[0],[1.0799372090259567],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
9,0,9,0,16.50453417,,,,,,,,,16.46061413,10,16.50453417,16.50453417,0.029086375,18.03337283,[0.16],[0.41888888888888887],[1],[0],[0],[1.544256207998842],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
10,0,10,0,18.08140442,,,,,,,,,18.03757058,10,18.08140442,18.08140442,0.029247834,19.30638967,[0.0811111111111111],[0.41555555555555557],[1],[0],[0],[1.2402185830287635],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
11,0,11,0,19.33610596,,,,,,,,,19.31045875,5,19.33610596,19.33610596,0.015309625,21.48005896,[-0.22666666666666666],[-0.3611111111111111],[1],[0],[0],[2.1548966659465805],[],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
12,0,12,0,21.52761725,,,,,,,,,21.48412771,10,21.52761725,21.52761725,0.029011167,22.63607196,[-0.28444444444444444],[-0.36],[1],[0],[0],[1.1235252089099959],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
13,0,13,0,22.68353017,,,,,,,,,22.64021483,10,22.68353017,22.68353017,0.029031125,25.32369858,[-0.35777777777777775],[0.4311111111111111],[1],[0],[0],[2.6550554169807583],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
14,0,14,0,25.35333379,,,,,,,,,25.32778479,5,25.35333379,25.35333379,0.015324541,27.02339608,[-0.15666666666666668],[0.3844444444444444],[1],[0],[0],[1.6808722499990836],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
15,0,15,0,27.07109175,,,,,,,,,27.02751196,10,27.07109175,27.07109175,0.028946833,29.01469633,[0.3622222222222222],[-0.14888888888888888],[1],[0],[0],[1.9586743330582976],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
16,0,16,0,29.06215883,,,,,,,,,29.018873,10,29.06215883,29.06215883,0.0287655,30.84482821,[-0.20666666666666667],[0.39555555555555555],[1],[0],[0],[1.7977792919846252],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
17,0,17,0,30.87514929,,,,,,,,,30.84894192,5,30.87514929,30.87514929,0.015774417,31.95064525,[0.06666666666666667],[0.27111111111111114],[1],[0],[0],[1.0865413340507075],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
18,0,18,0,31.98012617,,,,,,,,,31.95472571,5,31.98012617,31.98012617,0.015036083,33.69698471,[0.23],[-0.2544444444444444],[1],[0],[0],[1.7278222079621628],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
19,0,19,0,33.72657658,,,,,,,,,33.701066,5,33.72657658,33.72657658,0.015349875,35.42409288,[-0.24888888888888888],[0.35],[1],[0],[0],[1.7082772080320865],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
20,0,20,0,35.471904,,,,,,,,,35.42814079,10,35.471904,35.471904,0.029249542,36.8895925,[0.27444444444444444],[-0.41555555555555557],[1],[0],[0],[1.432792624924332],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
21,0,21,0,36.91928554,,,,,,,,,36.893666,5,36.91928554,36.91928554,0.015350625,39.27447179,[0.2922222222222222],[0.44333333333333336],[1],[0],[0],[2.3659797500586137],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
22,0,22,0,39.3231185,,,,,,,,,39.27858458,10,39.3231185,39.3231185,0.029785333,40.81857613,[-0.06222222222222222],[0.13333333333333333],[1],[0],[0],[1.51084224996157],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
23,0,23,0,40.84808446,,,,,,,,,40.82263458,5,40.84808446,40.84808446,0.015145167,41.79725125,[-0.14333333333333334],[0.26222222222222225],[1],[0],[0],[0.960077999974601],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
24,0,24,0,41.84443729,,,,,,,,,41.80130054,10,41.84443729,41.84443729,0.028820542,43.19422383,[-0.03888888888888889],[-0.06222222222222222],[1],[0],[0],[1.3646806250326335],['target'],,,,,NK,1,2024-10-04_11h28.09.880,V3,2024.1.5,2024-10-04 11h28.32.152801 +0530
