pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Ins.started,text.started,key_resp_2.started,Ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thnx.started,text_2.started,thnx.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,0.067485875,0.299846916,0.299846916,3.643234208,space,3.23776475,None,,,,,,,,,,,,,,,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-150,z,0,0,0,0,,,,,3.8124495,,,,,,,,,3.667310916,3.8124495,4.691483958,4.691483958,4.691483958,4.691483958,4.8157805,5.637562291,5.637562291,6.514922541,z,1,0.874000667,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-50,x,0,1,1,1,,,,,6.52468575,,,,,,,,,6.516637375,6.52468575,7.516842583,7.516842583,7.516842583,7.516842583,7.525350916,8.512809583,8.512809583,9.00589575,x,1,0.482119083,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
50,c,0,2,2,2,,,,,9.022027708,,,,,,,,,9.007029833,9.022027708,10.00496837,10.00496837,10.00496837,10.00496837,10.01295104,11.00448346,11.00448346,11.34738817,c,1,0.337744375,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
150,v,0,3,3,3,,,,,11.35701917,,,,,,,,,11.34853196,11.35701917,12.34898579,12.34898579,12.34898579,12.34898579,12.35846492,13.35046779,13.35046779,14.03933133,v,1,0.685129584,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-150,z,1,0,4,0,,,,,14.06274121,,,,,,,,,14.04032475,14.06274121,15.03777354,15.03777354,15.03777354,15.03777354,15.05488617,16.03781129,16.03781129,16.33176312,z,1,0.292459625,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-50,x,1,1,5,1,,,,,16.34176029,,,,,,,,,16.33275417,16.34176029,17.33359587,17.33359587,17.33359587,17.33359587,17.35055387,18.32977762,18.32977762,18.68028458,x,1,0.3472175,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
50,c,1,2,6,2,,,,,18.68878058,,,,,,,,,18.68133242,18.68878058,19.6793625,19.6793625,19.6793625,19.6793625,19.68909412,20.679791,20.679791,20.68962329,c,1,0.005815083,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
150,v,1,3,7,3,,,,,20.69861967,,,,,,,,,20.69061104,20.69861967,21.68817167,21.68817167,21.68817167,21.68817167,21.69740696,22.68924892,22.68924892,23.99715062,v,1,1.302949583,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-150,z,2,0,8,0,,,,,24.02207437,,,,,,,,,23.99840854,24.02207437,24.99889633,24.99889633,24.99889633,24.99889633,25.02262333,25.99661808,25.99661808,26.29895113,z,1,0.298350375,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-50,x,2,1,9,1,,,,,26.30826217,,,,,,,,,26.30023233,26.30826217,27.29975937,27.29975937,27.29975937,27.29975937,27.30983142,28.29667746,28.29667746,28.34794829,x,1,0.04723725,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
50,c,2,2,10,2,,,,,28.360174,,,,,,,,,28.34898625,28.360174,29.35177833,29.35177833,29.35177833,29.35177833,29.36148075,30.35006167,30.35006167,30.64723483,c,1,0.291855917,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
150,v,2,3,11,3,,,,,30.67233142,,,,,,,,,30.64847417,30.67233142,31.64897867,31.64897867,31.64897867,31.64897867,31.67273325,32.64691442,32.64691442,33.00434112,v,1,0.332312042,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-150,z,3,0,12,0,,,,,33.01576029,,,,,,,,,33.00748104,33.01576029,34.00060467,34.00060467,34.00060467,34.00060467,34.01003542,35.00508487,35.00508487,35.33320183,z,1,0.323778458,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-50,x,3,1,13,1,,,,,35.35040521,,,,,,,,,35.33429783,35.35040521,36.33296283,36.33296283,36.33296283,36.33296283,36.34231646,37.3300565,37.3300565,37.390414,x,1,0.044003042,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
50,c,3,2,14,2,,,,,37.40573154,,,,,,,,,37.39151387,37.40573154,38.38894875,38.38894875,38.38894875,38.38894875,38.40179133,39.38807833,39.38807833,39.69079246,c,1,0.2975595,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
150,v,3,3,15,3,,,,,39.6994955,,,,,,,,,39.69183196,39.6994955,40.68908371,40.68908371,40.68908371,40.68908371,40.6966495,41.68861083,41.68861083,41.96436808,v,1,0.269412917,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-150,z,4,0,16,0,,,,,41.98884542,,,,,,,,,41.96559575,41.98884542,42.96674917,42.96674917,42.96674917,42.96674917,42.98975792,43.96515858,43.96515858,44.44757117,z,1,0.476110125,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-50,x,4,1,17,1,,,,,44.4560025,,,,,,,,,44.44858271,44.4560025,45.44928417,45.44928417,45.44928417,45.44928417,45.44928417,46.45009958,46.45009958,46.94960733,x,1,0.496381916,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
50,c,4,2,18,2,,,,,46.95806675,,,,,,,,,46.95071187,46.95806675,47.95114371,47.95114371,47.95114371,47.95114371,47.96952479,48.94738337,48.94738337,49.32334946,c,1,0.372917042,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
150,v,4,3,19,3,,,,,49.33156983,,,,,,,,,49.32434225,49.33156983,50.32242917,50.32242917,50.32242917,50.32242917,50.33158379,51.3220095,51.3220095,51.67862867,v,1,0.342774292,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-150,z,5,0,20,0,,,,,51.68928317,,,,,,,,,51.67974004,51.68928317,52.67240817,52.67240817,52.67240817,52.67240817,52.68097183,53.67234179,53.67234179,54.07374333,z,1,0.392704625,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-50,x,5,1,21,1,,,,,54.08267633,,,,,,,,,54.07475254,54.08267633,55.07383712,55.07383712,55.07383712,55.07383712,55.08787996,56.06659492,56.06659492,56.34181004,x,1,0.266687291,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
50,c,5,2,22,2,,,,,56.35113904,,,,,,,,,56.34310137,56.35113904,57.35257121,57.35257121,57.35257121,57.35257121,57.35257121,58.33912462,58.33912462,58.65027108,c,1,0.306995792,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
150,v,5,3,23,3,,,,,58.65999367,,,,,,,,,58.65128154,58.65999367,59.65349658,59.65349658,59.65349658,59.65349658,59.66697825,60.64793554,60.64793554,61.05715792,v,1,0.403888333,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
-150,z,6,0,24,0,,,,,61.06553929,,,,,,,,,61.05815621,61.06553929,62.05038896,62.05038896,62.05038896,62.05038896,62.05943787,63.05688954,63.05688954,63.64796304,z,1,0.584894459,None,,,,188792,1,2024-10-15_17h52.48.885,v4,2024.1.5,None,2024-10-15 17h53.01.392488 +0530
