study_word,test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,ins.started,text_4.started,key_resp.started,ins.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Phase1.started,text_5.started,Phase1.stopped,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,Phase_2.started,text_6.started,Phase_2.stopped,test.started,testword.started,textbox.started,submit_text.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,thanks.started,thank.started,thank.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.08927804199629463,0.11148137500276789,0.11148137500276789,0.767938500008313,space,0.5730663329886738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
,,,,,,,,,,,,,,,,,,,,,0.7680188750091475,0.8028294590185396,2.78077445900999,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
Cushion ,,,,0,0,0,1,,,,,2.9028041250130627,,,,,,,,,,,,2.8163447090191767,2.9028041250130627,2.9028041250130627,4.088024249998853,1.3688888888888888,1.2113582080055494,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
Poster,,,,0,1,1,14,,,,,4.152025542018237,,,,,,,,,,,,4.089532042009523,4.152025542018237,4.152025542018237,4.782517959014513,2.3155555555555556,0.6323665420059115,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
Board ,,,,0,2,2,4,,,,,4.849293209001189,,,,,,,,,,,,4.783147042006021,4.849293209001189,4.849293209001189,5.485976791998837,2.977777777777778,0.6404046659881715,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
Phone ,,,,0,3,3,2,,,,,5.551135167013854,,,,,,,,,,,,5.486739709012909,5.551135167013854,5.551135167013854,6.1837851669988595,1.4044444444444444,0.6357160420157015,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
Pastry,,,,0,4,4,9,,,,,6.252155666996259,,,,,,,,,,,,6.1845212090120185,6.252155666996259,6.252155666996259,6.953933709010016,3.56,0.7011642080033198,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
Laptop ,,,,0,5,5,5,,,,,7.019517459004419,,,,,,,,,,,,6.9548249170184135,7.019517459004419,7.019517459004419,7.597935209021671,2.506666666666667,0.5824375830125064,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
mouse,,,,0,6,6,8,,,,,7.6662375000014435,,,,,,,,,,,,7.598774875019444,7.6662375000014435,7.6662375000014435,8.569122709013755,1,0.9251372500148136,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
Keys,,,,0,7,7,13,,,,,8.599655333993724,,,,,,,,,,,,8.56956887501292,8.599655333993724,8.599655333993724,9.157447250006953,1.3066666666666666,0.5443401669908781,,,,,,,,,,,,,,,,,,,,,,AK,001,2024-10-25_12h09.54.859,v5,2024.1.5,None,2024-10-25 12h10.24.188388 +0530,
