study_word,test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,ins.started,text_4.started,key_resp.started,ins.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Phase1.started,text_5.started,Phase1.stopped,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,Phase_2.started,text_6.started,text_6.stopped,Phase_2.stopped,test.started,testword.started,textbox.started,submit_text.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,thanks.started,thank.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.08965845900820568,0.14363050000974908,0.14363050000974908,4.681381542002782,space,4.522369500016794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
,,,,,,,,,,,,,,,,,,,,,4.681601041986141,4.757051499997033,6.685952500003623,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
Case,,,,0,0,0,10,,,,,6.898918249993585,,,,,,,,,,,,6.770843459002208,6.898918249993585,6.898918249993585,7.952237833989784,1.8488888888888888,1.121246708004037,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
Chart,,,,0,1,1,6,,,,,8.00601020900649,,,,,,,,,,,,7.953461625002092,8.00601020900649,8.00601020900649,8.865699084009975,2.7066666666666666,0.8280932909983676,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
Marble ,,,,0,2,2,3,,,,,8.967393458995502,,,,,,,,,,,,8.866571958991699,8.967393458995502,8.967393458995502,9.949085583997658,1.04,0.999472583993338,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
mouse,,,,0,3,3,8,,,,,9.996421583986375,,,,,,,,,,,,9.949662958999397,9.996421583986375,9.996421583986375,11.36219162499765,1.84,1.3674092500004917,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
Board ,,,,0,4,4,4,,,,,11.433970749989385,,,,,,,,,,,,11.363158499996644,11.433970749989385,11.433970749989385,12.37630904201069,3.0355555555555553,0.9494212919962592,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
Cruise,,,,0,5,5,11,,,,,12.437320083990926,,,,,,,,,,,,12.377341249986785,12.437320083990926,12.437320083990926,13.442462917009834,1.2044444444444444,1.0179134169884492,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
Poster,,,,0,6,6,14,,,,,13.47483237501001,,,,,,,,,,,,13.442973208992044,13.47483237501001,13.47483237501001,14.490860249992693,3.3777777777777778,0.9968740830081515,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
Book ,,,,0,7,7,0,,,,,14.550305000011576,,,,,,,,,,,,14.49169012499624,14.550305000011576,14.550305000011576,16.191548542003147,1,1.6508505840029102,,,,,,,,,,,,,,,,,,,,,,AN,001,2024-10-25_12h01.13.207,v5,2024.1.5,None,2024-10-25 12h01.29.548098 +0530,
