study_word,test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,ins.started,text_4.started,key_resp.started,ins.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Phase1.started,text_5.started,Phase1.stopped,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,Phase_2.started,text_6.started,text_6.stopped,Phase_2.stopped,test.started,testword.started,textbox.started,submit_text.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,thanks.started,thank.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.06249158299760893,0.10170866700354964,0.10170866700354964,12.236557666998124,space,12.122939458000474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,,,,,,,,,,,,,,,,,,,,,12.236682832997758,12.257268207991729,14.244298917008564,,,,,,,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Cushion ,,,,0,0,0,1,,,,,14.38946741700056,,,,,,,,,,,,14.295004207990132,14.38946741700056,14.38946741700056,18.26826133299619,1.0266666666666666,3.9268153750163037,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Poster,,,,0,1,1,14,,,,,18.318759167013923,,,,,,,,,,,,18.269275708007626,18.318759167013923,18.318759167013923,18.429824708000524,1.0266666666666666,0.10642808300326578,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Chart,,,,0,2,2,6,,,,,18.494320666999556,,,,,,,,,,,,18.430798082990805,18.494320666999556,18.494320666999556,19.516133583005285,1.0266666666666666,1.0420490830147173,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Board ,,,,0,3,3,4,,,,,19.550379249994876,,,,,,,,,,,,19.516540999989957,19.550379249994876,19.550379249994876,20.837422042008257,1.0266666666666666,1.286607499991078,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
mouse,,,,0,4,4,8,,,,,20.86869904201012,,,,,,,,,,,,20.837888042005943,20.86869904201012,20.86869904201012,23.250522374990396,1,2.3718665830092505,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Marble ,,,,0,5,5,3,,,,,23.310445042006904,,,,,,,,,,,,23.251263125013793,23.310445042006904,23.310445042006904,24.096270375011954,1,0.787244458013447,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Laptop ,,,,0,6,6,5,,,,,24.153033208014676,,,,,,,,,,,,24.097047207993455,24.153033208014676,24.153033208014676,25.068744999996852,1,0.9261821249965578,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Phone ,,,,0,7,7,2,,,,,25.100287125009345,,,,,,,,,,,,25.06919999999809,25.100287125009345,25.100287125009345,26.189914582995698,1,1.0719333339948207,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Police,,,,0,8,8,12,,,,,26.253962874994613,,,,,,,,,,,,26.19072995800525,26.253962874994613,26.253962874994613,27.43805166700622,1,1.1881899579893798,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Case,,,,0,9,9,10,,,,,27.506273875012994,,,,,,,,,,,,27.4388879580074,27.506273875012994,27.506273875012994,28.794049999996787,1,1.2994853339914698,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
T-shirt,,,,0,10,10,7,,,,,28.852624499995727,,,,,,,,,,,,28.79500874999212,28.852624499995727,28.852624499995727,30.425052250007866,1,1.569714125012979,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Keys,,,,0,11,11,13,,,,,30.479967374994885,,,,,,,,,,,,30.42583087499952,30.479967374994885,30.479967374994885,31.637738041987177,1,1.158490374975372,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Pastry,,,,0,12,12,9,,,,,31.714057375007542,,,,,,,,,,,,31.6385734170035,31.714057375007542,31.714057375007542,32.73780937498668,1,1.0576142919890117,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Book ,,,,0,13,13,0,,,,,32.77383925000322,,,,,,,,,,,,32.73829391700565,32.77383925000322,32.77383925000322,32.909612457995536,1,0.13568587499321438,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
Cruise,,,,0,14,14,11,,,,,32.95726616700995,,,,,,,,,,,,32.910197374993004,32.95726616700995,32.95726616700995,34.23758991700015,1,1.2896590000018477,,,,,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.23791533301119,34.246012457995676,36.28614554199157,36.233705791994,,,,,,,,,,,,,,,,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,P_li_e,police,old,,,,,0,0,0,7,36.28614554199157,,,,,,,,,,,,,,,,,,,,,,36.25293491699267,36.28614554199157,36.28614554199157,36.28614554199157,0.02646379201905802,40.69519858300919,police,[-0.024444444444444446],[-0.3244444444444444],[1],[0],[0],[4.429996874998324],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,_o_rd ,board,old,,,,,0,1,1,10,40.729779874993255,,,,,,,,,,,,,,,,,,,,,,40.69819825000013,40.729779874993255,40.729779874993255,40.729779874993255,0.007712791993981227,46.283310083003016,board,[-0.03],[-0.29555555555555557],[1],[0],[0],[5.576903667009901],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,_r_is_ ,cruise ,old,,,,,0,2,2,6,46.321722458000295,,,,,,,,,,,,,,,,,,,,,,46.286206249991665,46.321722458000295,46.321722458000295,46.321722458000295,0.009200000000419095,48.92942379199667,cruise,[-0.03],[-0.3188888888888889],[1],[0],[0],[2.634069374995306],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,l_pt_p ,laptop ,old,,,,,0,3,3,0,48.95129304198781,,,,,,,,,,,,,,,,,,,,,,48.930437708011596,48.95129304198781,48.95129304198781,48.95129304198781,0.003788582980632782,52.97965970801306,laptop,[-0.03],[-0.3188888888888889],[1],[0],[0],[4.045068041014019],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,v_s_,vase ,new,,,,,0,4,4,17,53.00623270799406,,,,,,,,,,,,,,,,,,,,,,52.980944292008644,53.00623270799406,53.00623270799406,53.00623270799406,0.005054667009972036,55.21367666698643,vase,[-0.03],[-0.3188888888888889],[1],[0],[0],[2.2273031670192722],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,_o_se ,mouse,old,,,,,0,5,5,3,55.23930420799297,,,,,,,,,,,,,,,,,,,,,,55.2153644580103,55.23930420799297,55.23930420799297,55.23930420799297,0.005341584008419886,58.75981833299738,mouse,[-0.03],[-0.3188888888888889],[1],[0],[0],[3.538747415994294],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,P_st_r,poster,old,,,,,0,6,6,9,58.783178125013364,,,,,,,,,,,,,,,,,,,,,,58.76093962500454,58.783178125013364,58.783178125013364,58.783178125013364,0.004420625016791746,61.847109041991644,pastor,[-0.03],[-0.3188888888888889],[1],[0],[0],[3.079731667006854],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,K_y_ ,keys,old,,,,,0,7,7,8,61.8901151670143,,,,,,,,,,,,,,,,,,,,,,61.84945058298763,61.8901151670143,61.8901151670143,61.8901151670143,0.008984374988358468,64.69564412499312,keys,[-0.03],[-0.3188888888888889],[1],[0],[0],[2.836850332998438],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,_oo_,book ,old,,,,,0,8,8,13,64.736626583006,,,,,,,,,,,,,,,,,,,,,,64.69806295799208,64.736626583006,64.736626583006,64.736626583006,0.007933916000183672,70.01234933300293,book,[-0.07777777777777778],[-0.30444444444444446],[1],[0],[0],[5.306269833003171],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,_a_bl_,marble,old,,,,,0,9,9,11,70.03662166700815,,,,,,,,,,,,,,,,,,,,,,70.01414549999754,70.03662166700815,70.03662166700815,70.03662166700815,0.005260083009488881,77.79453600000124,marble,[0.02666666666666667],[-0.2966666666666667],[1],[0],[0],[7.774548791989218],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,T_hi_t ,tshirt,old,,,,,0,10,10,2,77.83103454200318,,,,,,,,,,,,,,,,,,,,,,77.79621683299774,77.83103454200318,77.83103454200318,77.83103454200318,0.006935165991308168,81.39444854200701,tshirt,[-0.06222222222222222],[-0.3211111111111111],[1],[0],[0],[3.5904867079807445],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,_ha_t ,chart,old,,,,,0,11,11,1,81.43747837500996,,,,,,,,,,,,,,,,,,,,,,81.39624995799386,81.43747837500996,81.43747837500996,81.43747837500996,0.009033165988512337,84.04164879198652,chant,[-0.06222222222222222],[-0.3211111111111111],[1],[0],[0],[2.6356509159959387],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,_ho_e,phone,old,,,,,0,12,12,12,84.08369437500369,,,,,,,,,,,,,,,,,,,,,,84.04432750001433,84.08369437500369,84.08369437500369,84.08369437500369,0.010590874997433275,88.85102145798737,shove,[-0.06222222222222222],[-0.3211111111111111],[1],[0],[0],[4.796204874990508],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,c_s_io_,cushion,old,,,,,0,13,13,14,88.87850858300226,,,,,,,,,,,,,,,,,,,,,,88.8523649169947,88.87850858300226,88.87850858300226,88.87850858300226,0.005762040993431583,92.2839479999966,cushion,[-0.09777777777777778],[-0.30777777777777776],[1],[0],[0],[3.425386624992825],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,_a_tr_,pastry ,old,,,,,0,14,14,4,92.30694391700672,,,,,,,,,,,,,,,,,,,,,,92.28504600000451,92.30694391700672,92.30694391700672,92.30694391700672,0.0044603749993257225,95.21292120800354,pastry,[-0.09777777777777778],[-0.30777777777777776],[1],[0],[0],[2.9228162500075996],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,C_s_ ,case,old,,,,,0,15,15,5,95.24294587501208,,,,,,,,,,,,,,,,,,,,,,95.21428295801161,95.24294587501208,95.24294587501208,95.24294587501208,0.00581470801262185,97.14840720800566,case,[-0.09777777777777778],[-0.30777777777777776],[1],[0],[0],[1.92798966600094],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,ta_l_ ,table ,new,,,,,0,16,16,15,97.17115520799416,,,,,,,,,,,,,,,,,,,,,,97.14935720799258,97.17115520799416,97.17115520799416,97.17115520799416,0.0043565410014707595,100.49171287499485,table,[0.042222222222222223],[-0.29],[1],[0],[0],[3.337102416000562],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,p_nc_l,pencil,new,,,,,0,17,17,16,100.52778716699686,,,,,,,,,,,,,,,,,,,,,,100.49377662499319,100.52778716699686,100.52778716699686,100.52778716699686,0.008230000006733462,106.84966820801492,pencil,"[0.03777777777777778, -0.03]","[-0.33111111111111113, -0.31333333333333335]","[1, 1]","[0, 0]","[0, 0]","[3.776520959014306, 6.347277916996973]",['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,c_m_ra,camera,new,,,,,0,18,18,19,106.88183404199663,,,,,,,,,,,,,,,,,,,,,,106.85135737500968,106.88183404199663,106.88183404199663,106.88183404199663,0.006578875007107854,110.30047779201414,camera,[-0.03],[-0.31333333333333335],[1],[0],[0],[3.441731458005961],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,bo_t_e ,bottle ,new,,,,,0,19,19,18,110.33546979201492,,,,,,,,,,,,,,,,,,,,,,110.30212000000756,110.33546979201492,110.33546979201492,110.33546979201492,0.007818166021024808,112.73014983299072,bottle,[-0.03],[-0.31333333333333335],[1],[0],[0],[2.4194915840053],['submit_text'],,,,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.73161545800394,112.74310849999893,113.23521458299365,AR,001,2024-10-25_12h06.47.713,v5,2024.1.5,None,2024-10-25 12h07.07.823818 +0530,
