delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.1,1000,unexp,0,0,0,3,0.12214519991539419,,0.11739449994638562,0.12214519991539419,1.0063866999698803,1.0063866999698803,1.1228408999741077,4.64797729998827,space,3.6302966000512242,None,4.650069099967368,4.755875266568425,5.066157899913378,5.052153499913402,5.052190299960785,5.066157899913378,5.066157899913378,5.066157899913378,10.790501799900085,102,1,[5.735941000049934],[5.735951100010425],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.7,400,exp,0,1,1,5,10.805847299983725,,10.792283899965696,10.805847299983725,11.805632599978708,11.805632599978708,11.805632599978708,12.356796899926849,space,0.5466221999377012,None,12.357420899905264,13.073267266565624,13.387355099897832,13.376555099966936,13.376594299916178,13.387355099897832,13.387355099897832,13.387355099897832,15.907633599941619,298,1,[2.529372700024396],[2.529386500013061],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.4,400,exp,0,2,2,7,15.922231999924406,,15.908734499942511,15.922231999924406,16.922220399952494,16.922220399952494,16.922220399952494,17.556770699913613,space,0.6185833999188617,None,17.557506899931468,17.972315966562988,,18.243413199903443,18.243447899934836,18.255644399905577,18.255644399905577,18.255644399905577,19.690840999945067,478,1,[1.4455219999654219],[1.4455345999449492],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.1,1000,unexp,0,3,3,0,19.705497999908403,,19.692058199900202,19.705497999908403,20.705396999954246,20.705396999954246,20.705396999954246,21.689659599913284,space,0.9746054999995977,None,21.690082299988717,21.805175566642234,22.113674799911678,22.102264799992554,22.102312000002712,22.113674799911678,22.113674799911678,22.113674799911678,24.923464099992998,213,1,[2.8195179000031203],[2.81952929997351],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.7,400,exp,0,4,4,8,24.93851549993269,,24.92417979997117,24.93851549993269,25.93842549994588,25.93842549994588,25.93842549994588,26.37300099991262,space,0.422943799989298,None,26.37367669993546,27.088481566581564,27.393927299999632,27.381933799944818,27.381960599916056,27.393927299999632,27.393927299999632,27.393927299999632,29.323082999908365,398,1,[1.9381876999977976],[1.9382001000922173],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.7,1000,unexp,0,5,5,2,29.338396699982695,,29.324235699954443,29.338396699982695,30.338280099909753,30.338280099909753,30.338280099909753,30.58950639993418,space,0.2457423999439925,None,30.590220399899408,31.294991266626553,,31.564724599942565,31.56476089998614,31.57864109997172,31.57864109997172,31.57864109997172,33.09093559999019,473,1,[1.5242581999627873],[1.5242686999263242],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.1,400,exp,0,6,6,6,33.105106899980456,,33.09167399990838,33.105106899980456,34.10595699993428,34.10595699993428,34.10595699993428,34.424029499990866,space,0.31478899996727705,None,34.42509929998778,34.53810916660974,34.85649319994263,34.83248359989375,34.83254449989181,34.85649319994263,34.85649319994263,34.85649319994263,36.0731123998994,192,1,[1.2380212000571191],[1.2380304000107571],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.4,1000,unexp,0,7,7,4,36.08817199990153,,36.073787799919955,36.08817199990153,37.08849849994294,37.08849849994294,37.08849849994294,37.35702869994566,space,0.263840000028722,None,37.35788019991014,37.77145466657045,38.09085519996006,38.07476569991559,38.074810099904425,38.09085519996006,38.09085519996006,38.09085519996006,40.456308999913745,193,1,[2.3784242999972776],[2.3784558000043035],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.4,1000,unexp,0,8,8,1,40.471669999998994,,40.45744329993613,40.471669999998994,41.45511079998687,41.45511079998687,41.47162609989755,41.822739899973385,space,0.36596099997404963,None,41.823151399963535,42.23814536660599,42.549742899951525,42.539816799922846,42.53984539990779,42.549742899951525,42.549742899951525,42.549742899951525,46.33895519992802,218,1,[3.7963465000502765],[3.796355800004676],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.1,400,exp,0,9,9,9,46.354363399907015,,46.339918299927376,46.354363399907015,47.354564099921845,47.354564099921845,47.354564099921845,48.2220365999965,space,0.8517873000819236,None,48.222763099940494,48.337637266671905,48.64125429990236,48.63130349991843,48.63134229998104,48.64125429990236,48.64125429990236,48.64125429990236,50.58905029995367,298,1,[1.956186500028707],[1.9561944999732077],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
0.7,400,exp,1,0,10,5,50.60426639998332,,50.589693199959584,50.60426639998332,51.60425049997866,51.60425049997866,51.60425049997866,52.055621299892664,space,0.4464346000459045,None,52.05638349999208,52.770783366581114,53.085845299996436,53.07231689989567,53.07235229993239,53.085845299996436,53.085845299996436,53.085845299996436,54.321965999901295,128,1,[1.2471557999961078],[1.2471642000600696],257325,001,2024-11-14_19h20.13.916,intentional binding task,2024.1.5,None,2024-11-14 19h20.25.146951 +0530,
