reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Ins.started,text_3.started,key_resp_2.started,Ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,0.011551292,0.022983042,0.022983042,0.819651917,space,0.751062958,None,,,,,,,,,,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
78,80,162,0,0,0,6,0.863446833,,,,,,,,,0.84036025,0.863446833,1.814504833,1.814504833,1.856129875,2.924496417,l,1.105666042,None,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
27,50,21,0,1,1,2,2.942411958,,,,,,,,,2.926085167,2.942411958,3.922983083,3.922983083,3.939228917,4.597761083,l,0.672978583,None,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
11,30,7,0,2,2,0,4.6260645,,,,,,,,,4.598563792,4.6260645,5.598138375,5.598138375,5.622533083,6.397426167,t,0.794253792,None,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
49,60,89,0,3,3,4,6.414299708,,,,,,,,,6.398377875,6.414299708,7.39844075,7.39844075,7.405497333,8.397689792,t,0.997454,None,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
67,75,119,0,4,4,5,8.41215825,,,,,,,,,8.398493833,8.41215825,9.397879417,9.397879417,9.406090958,9.881264875,t,0.481406458,None,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
15,35,13,0,5,5,1,9.895674,,,,,,,,,9.882062042,9.895674,10.88135246,10.88135246,10.88973112,11.44802617,l,0.560107708,None,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
40,55,62,0,6,6,3,11.46245383,,,,,,,,,11.44881888,11.46245383,12.44822033,12.44822033,12.45527708,12.94803054,t,0.494532167,None,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
40,55,62,1,0,7,3,12.9587615,,,,,,,,,12.94897117,12.9587615,13.94856971,13.94856971,13.95567979,14.34119262,t,0.387414292,None,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
27,50,21,1,1,8,2,14.35658537,,,,,,,,,14.34216892,14.35658537,15.33961321,15.33961321,15.34674683,15.80856458,t,0.467093875,None,,,,,AK,1,2024-11-17_20h04.07.494,v7,2024.1.5,None,2024-11-17 20h04.22.090801 +0530
