reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Ins.started,text_3.started,key_resp_2.started,Ins.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,text.started,key_resp.started,Fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,0.01080566697055474,0.029305083968210965,0.029305083968210965,1.9779413749929518,space,1.882651583000552,None,,,,,,,,,,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
67,75,119,0,0,0,5,2.006355874997098,,,,,,,,,1.986438249994535,2.006355874997098,2.9774490419658832,2.9774490419658832,3.0194467089604586,5.121638167009223,t,2.1421211249544285,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
78,80,162,0,1,1,6,5.1392603339627385,,,,,,,,,5.12301275000209,5.1392603339627385,6.118897833977826,6.118897833977826,6.1347899999818765,7.276815541961696,t,1.1516749580041505,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
15,35,13,0,2,2,1,7.299588624970056,,,,,,,,,7.2776281670085154,7.299588624970056,8.278386624995619,8.278386624995619,8.319624958967324,9.810600374999922,l,1.5253273749840446,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
40,55,62,0,3,3,3,9.826927458983846,,,,,,,,,9.811690708971582,9.826927458983846,10.810703666997142,10.810703666997142,10.818989208957646,12.903990041988436,l,2.083181374997366,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
49,60,89,0,4,4,4,12.919527416990604,,,,,,,,,12.904806458973326,12.919527416990604,13.90233441698365,13.90233441698365,13.909040750004351,15.397950334008783,t,1.4844781249994412,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
27,50,21,0,5,5,2,15.40890495898202,,,,,,,,,15.398824292002246,15.40890495898202,16.39464404201135,16.39464404201135,16.401655708963517,17.037874959001783,l,0.6370337500120513,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
11,30,7,0,6,6,0,17.05327941698488,,,,,,,,,17.03884404199198,17.05327941698488,18.035856916976627,18.035856916976627,18.042497249960434,18.349239374976605,l,0.3008062499575317,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
67,75,119,1,0,7,5,18.361528916982934,,,,,,,,,18.350052749970928,18.361528916982934,19.34432624996407,19.34432624996407,19.35254879196873,19.854402916971594,t,0.4998514170292765,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
78,80,162,1,1,8,6,19.869887084001675,,,,,,,,,19.855451292009093,19.869887084001675,20.85256249998929,20.85256249998929,20.8597326669842,22.210946917010006,t,1.356120957992971,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
27,50,21,1,2,9,2,22.225450333964545,,,,,,,,,22.21192049997626,22.225450333964545,23.212164458993357,23.212164458993357,23.21910216700053,23.888000999984797,l,0.6660617910092697,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
49,60,89,1,3,10,4,23.903389624960255,,,,,,,,,23.888960874988697,23.903389624960255,24.88607349997619,24.88607349997619,24.89293999999063,26.154585458978545,t,1.2624383750371635,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
11,30,7,1,4,11,0,26.170817999984138,,,,,,,,,26.15555820899317,26.170817999984138,27.152794541965704,27.152794541965704,27.169472292007413,27.847850708989426,l,0.6842493749572895,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
15,35,13,1,5,12,1,27.859932374965865,,,,,,,,,27.8486511670053,27.859932374965865,28.844523834006395,28.844523834006395,28.852882375009358,29.564711374987382,l,0.7090695839724503,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
40,55,62,1,6,13,3,29.576367166999262,,,,,,,,,29.565514374990016,29.576367166999262,30.561477208975703,30.561477208975703,30.56967950001126,31.587744333955925,t,1.017247290990781,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
49,60,89,2,0,14,4,31.602370666980278,,,,,,,,,31.588551958964672,31.602370666980278,32.586301458999515,32.586301458999515,32.59309120901162,33.538279166969005,t,0.9439730829908513,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
15,35,13,2,1,15,1,33.55367737496272,,,,,,,,,33.53922712500207,33.55367737496272,34.53561341698514,34.53561341698514,34.55303120898316,35.06115358398529,l,0.5231195419910364,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
11,30,7,2,2,16,0,35.07547437498579,,,,,,,,,35.06193212501239,35.07547437498579,36.06310599995777,36.06310599995777,36.07007145899115,36.654892749967985,l,0.5823228750377893,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
40,55,62,2,3,17,3,36.67071258398937,,,,,,,,,36.65584816696355,36.67071258398937,37.65341637498932,37.65341637498932,37.660928791970946,39.12801991699962,t,1.4673141250386834,None,,,,,AR,001,2024-11-17_20h07.28.757,v7,2024.1.5,None,2024-11-17 20h10.41.039419 +0530,
