image,type,duration,corr_ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,original.started,fixation1.started,image1.started,fixation1.stopped,image1.stopped,original.stopped,instructions2.started,text_2.started,keyresp.started,instructions2.stopped,keyresp.keys,keyresp.rt,keyresp.duration,mixed.started,fixation2.started,key_resp.started,image_2.started,fixation2.stopped,image_2.stopped,mixed.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_3.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,0.013585417,0.057010375,0.057010375,3.311447167,space,3.243955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
/Users/mac/Desktop/0_Solo/landscapebw5.jpg,bnw,0.533,,0,0,0,1,,,,,3.370807834,,,,,,,,,3.330586584,3.370807834,10.30783625,10.372977,10.85221562,10.82839142,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
/Users/mac/Desktop/0_Solo/mmbw5.jpg,bnw,0.2,,0,1,1,45,,,,,10.85221562,,,,,,,,,10.82918608,10.85221562,17.81700833,17.84300146,18.02083283,18.00032883,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
/Users/mac/Desktop/0_Solo/landscapec5.jpg,colour,0.4,,0,2,2,27,,,,,18.02083283,,,,,,,,,18.00076387,18.02083283,24.99354792,25.01639525,25.40205425,25.37852667,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
/Users/mac/Desktop/0_Solo/landscapebw2.jpg,bnw,0.8,,0,3,3,10,,,,,25.40205425,,,,,,,,,25.379608,25.40205425,32.37757087,32.39465792,33.30843637,33.160893,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
/Users/mac/Desktop/0_Solo/mmc1.jpg,colour,1.067,,0,4,4,13,,,,,33.30843637,,,,,,,,,33.16125571,33.30843637,40.15572917,40.30049408,41.26948721,41.21175292,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
/Users/mac/Desktop/0_Solo/flowerc2.jpg,colour,0.4,,0,5,5,4,,,,,41.26948721,,,,,,,,,41.21241883,41.26948721,48.20474446,48.26166158,48.66464742,48.59634687,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
/Users/mac/Desktop/0_Solo/flowerc5.jpg,colour,0.2,,0,6,6,11,,,,,48.66464742,,,,,,,,,48.59735517,48.66464742,55.59568863,55.66208429,55.80459425,55.77939383,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
/Users/mac/Desktop/0_Solo/rockbw6.jpg,bnw,0.4,,0,7,7,8,,,,,55.80459425,,,,,,,,,55.77994471,55.80459425,62.7697905,62.80127367,63.1750505,63.15295183,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
/Users/mac/Desktop/0_Solo/mmbw4.jpg,bnw,0.05,,0,8,8,17,,,,,63.1750505,,,,,,,,,63.15344042,63.1750505,70.14542025,70.16691012,70.24893279,70.17974283,,,,,,,,,,,,,,,,,,,,,,AN,1,2024-11-29_20h07.20.837,soloproject,2024.1.5,None,2024-11-29 20h08.12.815958 +0530
