image,corr_ans,duration
/Users/mac/Desktop/0_Solo/rockcn5.jpg,n,0.05
/Users/mac/Desktop/0_Solo/flowerc3.jpg,y,1.067
/Users/mac/Desktop/0_Solo/rockcn4.jpg,n,0.533
/Users/mac/Desktop/0_Solo/landscapebw4.jpg,y,0.4
/Users/mac/Desktop/0_Solo/flowerbwn3.jpg,n,0.2
/Users/mac/Desktop/0_Solo/rockc3.jpg,y,0.8
/Users/mac/Desktop/0_Solo/mmbw1.jpg,y,0.533
/Users/mac/Desktop/0_Solo/mmbw2.jpg,y,0.2
/Users/mac/Desktop/0_Solo/mmc5.jpg,y,0.8
/Users/mac/Desktop/0_Solo/landscapebwn5.jpg,n,1.067
/Users/mac/Desktop/0_Solo/landscapebwn1.jpg,n,0.05
/Users/mac/Desktop/0_Solo/landscapebwn4.jpg,n,0.4
/Users/mac/Desktop/0_Solo/flowerbw5.jpg,y,0.4
/Users/mac/Desktop/0_Solo/mmcn1.jpg,n,0.05
/Users/mac/Desktop/0_Solo/mmbwn1.jpg,n,0.2
/Users/mac/Desktop/0_Solo/flowercn2.jpg,n,1.067
/Users/mac/Desktop/0_Solo/rockbwn6.jpg,n,0.8
/Users/mac/Desktop/0_Solo/rockbwn2.jpg,n,0.533
/Users/mac/Desktop/0_Solo/mmbwn2.jpg,n,0.05
/Users/mac/Desktop/0_Solo/landscapebw2.jpg,y,0.4
/Users/mac/Desktop/0_Solo/landscapec2.jpg,y,0.2
/Users/mac/Desktop/0_Solo/flowercn5.jpg,n,1.067
/Users/mac/Desktop/0_Solo/rockcn1.jpg,n,0.533
/Users/mac/Desktop/0_Solo/flowerbw4.jpg,y,0.8
/Users/mac/Desktop/0_Solo/landscapec3.jpg,y,0.8
/Users/mac/Desktop/0_Solo/landscapecn2.jpg,n,0.4
/Users/mac/Desktop/0_Solo/flowerc6.jpg,y,0.05
/Users/mac/Desktop/0_Solo/mmc6.jpg,y,0.533
/Users/mac/Desktop/0_Solo/mmcn4.jpg,n,1.067
/Users/mac/Desktop/0_Solo/mmcn2.jpg,n,0.2
/Users/mac/Desktop/0_Solo/landscapecn1.jpg,n,0.8
/Users/mac/Desktop/0_Solo/landscapebw1.jpg,y,0.4
/Users/mac/Desktop/0_Solo/mmbw4.jpg,y,0.2
/Users/mac/Desktop/0_Solo/rockc5.jpg,y,1.067
/Users/mac/Desktop/0_Solo/flowerbw2.jpg,y,0.05
/Users/mac/Desktop/0_Solo/rockbwn1.jpg,n,0.533
/Users/mac/Desktop/0_Solo/landscapec6.jpg,y,0.2
/Users/mac/Desktop/0_Solo/mmbwn5.jpg,n,0.8
/Users/mac/Desktop/0_Solo/mmbw6.jpg,y,0.4
/Users/mac/Desktop/0_Solo/landscapebw6.jpg,y,0.05
/Users/mac/Desktop/0_Solo/rockcn2.jpg,n,1.067
/Users/mac/Desktop/0_Solo/landscapecn4.jpg,n,0.533
/Users/mac/Desktop/0_Solo/rockbw1.jpg,y,0.05
/Users/mac/Desktop/0_Solo/landscapebwn2.jpg,n,1.067
/Users/mac/Desktop/0_Solo/flowerbwn5.jpg,n,0.4
/Users/mac/Desktop/0_Solo/rockc2.jpg,y,0.2
/Users/mac/Desktop/0_Solo/mmbw3.jpg,y,0.533
/Users/mac/Desktop/0_Solo/rockc1.jpg,y,0.8
/Users/mac/Desktop/0_Solo/landscapebwn3.jpg,n,0.533
/Users/mac/Desktop/0_Solo/flowercn6.jpg,n,0.8
/Users/mac/Desktop/0_Solo/flowerbwn2.jpg,n,0.05
/Users/mac/Desktop/0_Solo/rockbw4.jpg,y,1.067
/Users/mac/Desktop/0_Solo/mmcn5.jpg,n,0.4
/Users/mac/Desktop/0_Solo/rockbwn4.jpg,n,0.2
/Users/mac/Desktop/0_Solo/flowerbwn1.jpg,n,0.533
/Users/mac/Desktop/0_Solo/mmc2.jpg,y,0.4
/Users/mac/Desktop/0_Solo/mmc3.jpg,y,1.067
/Users/mac/Desktop/0_Solo/flowerbwn6.jpg,n,0.05
/Users/mac/Desktop/0_Solo/flowerc1.jpg,y,0.8
