image,type,duration,blackandwhite,colour,colour,CorrectResp,participant
/Users/mac/Desktop/0_Solo/landscapebw4.jpg,1,0.4,,,0,0,AN
/Users/mac/Desktop/0_Solo/flowerbwn1.jpg,2,0.533,1,,0,1,AN
/Users/mac/Desktop/0_Solo/rockbw4.jpg,3,1.067,1,,0,1,AN
/Users/mac/Desktop/0_Solo/landscapebwn3.jpg,1,0.533,1,,0,1,AN
/Users/mac/Desktop/0_Solo/flowercn3.jpg,2,0.05,,,1,0,AN
/Users/mac/Desktop/0_Solo/flowerbw6.jpg,2,1.067,,,0,0,AN
/Users/mac/Desktop/0_Solo/mmbwn3.jpg,4,0.2,,,0,0,AN
/Users/mac/Desktop/0_Solo/flowercn1.jpg,2,0.8,,1,1,1,AN
/Users/mac/Desktop/0_Solo/flowerc1.jpg,2,0.8,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmcn4.jpg,4,1.067,,,1,0,AN
/Users/mac/Desktop/0_Solo/landscapebw2.jpg,1,0.4,1,,0,1,AN
/Users/mac/Desktop/0_Solo/flowerbwn5.jpg,2,0.4,1,,0,1,AN
/Users/mac/Desktop/0_Solo/landscapecn4.jpg,1,0.533,,,1,0,AN
/Users/mac/Desktop/0_Solo/rockbwn6.jpg,3,0.8,1,,0,1,AN
/Users/mac/Desktop/0_Solo/landscapecn5.jpg,1,1.067,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmc2.jpg,4,0.4,,1,1,1,AN
/Users/mac/Desktop/0_Solo/rockbw1.jpg,3,0.05,,,0,0,AN
/Users/mac/Desktop/0_Solo/mmbw4.jpg,4,0.2,,,0,0,AN
/Users/mac/Desktop/0_Solo/mmbwn1.jpg,4,0.2,,,0,0,AN
/Users/mac/Desktop/0_Solo/rockcn6.jpg,3,0.8,,,1,0,AN
/Users/mac/Desktop/0_Solo/mmbwn5.jpg,4,0.8,1,,0,1,AN
/Users/mac/Desktop/0_Solo/rockbwn1.jpg,3,0.533,,,0,0,AN
/Users/mac/Desktop/0_Solo/rockcn2.jpg,3,1.067,,,1,0,AN
/Users/mac/Desktop/0_Solo/flowerbw1.jpg,1,0.533,1,,0,1,AN
/Users/mac/Desktop/0_Solo/rockcn5.jpg,3,0.05,,,1,0,AN
/Users/mac/Desktop/0_Solo/landscapec1.jpg,1,0.8,,,1,0,AN
/Users/mac/Desktop/0_Solo/flowerbw4.jpg,2,0.8,1,,0,1,AN
/Users/mac/Desktop/0_Solo/mmbw1.jpg,4,0.533,1,,0,1,AN
/Users/mac/Desktop/0_Solo/flowerc2.jpg,2,1.067,,1,1,1,AN
/Users/mac/Desktop/0_Solo/landscapebw3.jpg,1,0.8,1,,0,1,AN
/Users/mac/Desktop/0_Solo/rockc1.jpg,3,0.8,,,1,0,AN
/Users/mac/Desktop/0_Solo/mmc6.jpg,4,0.533,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmbwn2.jpg,4,0.05,1,,0,1,AN
/Users/mac/Desktop/0_Solo/flowercn5.jpg,2,1.067,,1,1,1,AN
/Users/mac/Desktop/0_Solo/rockbw2.jpg,3,0.8,1,,0,1,AN
/Users/mac/Desktop/0_Solo/flowerbwn2.jpg,2,0.05,,,0,0,AN
/Users/mac/Desktop/0_Solo/landscapebwn4.jpg,1,0.4,1,,0,1,AN
/Users/mac/Desktop/0_Solo/rockbw5.jpg,2,0.533,1,,0,1,AN
/Users/mac/Desktop/0_Solo/landscapec4.jpg,4,0.533,,,1,0,AN
/Users/mac/Desktop/0_Solo/flowerc4.jpg,2,1.067,,,1,0,AN
/Users/mac/Desktop/0_Solo/flowerc3.jpg,2,1.067,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmbw6.jpg,4,0.4,1,,0,1,AN
/Users/mac/Desktop/0_Solo/landscapebwn2.jpg,1,1.067,1,,0,1,AN
/Users/mac/Desktop/0_Solo/mmcn6.jpg,4,0.05,,,1,0,AN
/Users/mac/Desktop/0_Solo/flowerbw5.jpg,2,0.4,1,,0,1,AN
/Users/mac/Desktop/0_Solo/rockc5.jpg,3,1.067,,1,1,1,AN
/Users/mac/Desktop/0_Solo/landscapec3.jpg,1,0.8,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmc1.jpg,4,1.067,,,1,0,AN
/Users/mac/Desktop/0_Solo/flowerbw3.jpg,2,0.05,1,,0,1,AN
/Users/mac/Desktop/0_Solo/flowercn6.jpg,2,0.8,,,1,0,AN
/Users/mac/Desktop/0_Solo/flowerc5.jpg,2,0.2,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmbw5.jpg,4,0.533,,,0,0,AN
/Users/mac/Desktop/0_Solo/landscapec6.jpg,1,0.2,,1,1,1,AN
/Users/mac/Desktop/0_Solo/rockcn3.jpg,3,0.2,,,1,0,AN
/Users/mac/Desktop/0_Solo/landscapebw1.jpg,1,0.4,,,0,0,AN
/Users/mac/Desktop/0_Solo/flowercn2.jpg,2,1.067,,,1,0,AN
/Users/mac/Desktop/0_Solo/mmcn5.jpg,4,0.4,,,1,0,AN
/Users/mac/Desktop/0_Solo/flowerc6.jpg,2,0.05,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmcn1.jpg,4,0.05,,,1,0,AN
/Users/mac/Desktop/0_Solo/landscapec5.jpg,1,0.4,,1,1,1,AN
/Users/mac/Desktop/0_Solo/rockcn4.jpg,3,0.533,,1,1,1,AN
/Users/mac/Desktop/0_Solo/landscapebwn5.jpg,1,1.067,,,0,0,AN
/Users/mac/Desktop/0_Solo/mmbwn6.jpg,4,0.05,1,,0,1,AN
/Users/mac/Desktop/0_Solo/landscapecn1.jpg,1,0.8,,1,1,1,AN
/Users/mac/Desktop/0_Solo/flowerbwn4.jpg,2,0.2,,,0,0,AN
/Users/mac/Desktop/0_Solo/flowercn4.jpg,2,0.8,,,1,0,AN
/Users/mac/Desktop/0_Solo/rockc3.jpg,3,0.8,,1,1,1,AN
/Users/mac/Desktop/0_Solo/rockc6.jpg,3,0.4,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmc3.jpg,4,1.067,,1,1,1,AN
/Users/mac/Desktop/0_Solo/rockbwn5.jpg,3,0.2,1,,0,1,AN
/Users/mac/Desktop/0_Solo/flowerbwn3.jpg,2,0.2,,,0,0,AN
/Users/mac/Desktop/0_Solo/mmbw2.jpg,4,0.2,,,0,0,AN
/Users/mac/Desktop/0_Solo/landscapebwn1.jpg,1,0.05,,,0,0,AN
/Users/mac/Desktop/0_Solo/flowerbwn6.jpg,2,0.05,,,0,0,AN
/Users/mac/Desktop/0_Solo/flowerbw2.jpg,2,0.05,,,0,0,AN
/Users/mac/Desktop/0_Solo/rockbwn4.jpg,3,0.2,,,0,0,AN
/Users/mac/Desktop/0_Solo/landscapecn6.jpg,1,1.067,,1,1,1,AN
/Users/mac/Desktop/0_Solo/rockc2.jpg,3,0.2,,,1,0,AN
/Users/mac/Desktop/0_Solo/landscapebw5.jpg,1,0.2,1,,0,1,AN
/Users/mac/Desktop/0_Solo/landscapecn2.jpg,1,0.4,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmbwn4.jpg,4,0.2,1,,0,1,AN
/Users/mac/Desktop/0_Solo/rockcn1.jpg,3,0.533,,,1,0,AN
/Users/mac/Desktop/0_Solo/landscapebwn6.jpg,1,0.4,,,0,0,AN
/Users/mac/Desktop/0_Solo/mmcn2.jpg,4,0.2,,,1,0,AN
/Users/mac/Desktop/0_Solo/rockbwn3.jpg,3,0.4,1,,0,1,AN
/Users/mac/Desktop/0_Solo/mmc4.jpg,4,0.533,,,1,0,AN
/Users/mac/Desktop/0_Solo/mmbw3.jpg,4,0.533,,,0,0,AN
/Users/mac/Desktop/0_Solo/landscapec2.jpg,1,0.2,,1,1,1,AN
/Users/mac/Desktop/0_Solo/mmc5.jpg,4,0.8,,1,1,1,AN
/Users/mac/Desktop/0_Solo/landscapebw6.jpg,1,0.05,,,0,0,AN
/Users/mac/Desktop/0_Solo/rockbw6.jpg,3,0.4,,,0,0,AN
/Users/mac/Desktop/0_Solo/rockc4.jpg,3,0.4,,1,1,1,AN
/Users/mac/Desktop/0_Solo/rockbw3.jpg,3,0.533,,,0,0,AN
/Users/mac/Desktop/0_Solo/landscapecn3.jpg,1,0.05,,,1,0,AN
/Users/mac/Desktop/0_Solo/rockbwn2.jpg,3,0.533,,,0,0,AN
/Users/mac/Desktop/0_Solo/mmcn3.jpg,4,0.05,,1,1,1,AN
/Users/mac/Desktop/0_Solo/landscapebwn2.jpg,1,1.067,,,0,0,NK
/Users/mac/Desktop/0_Solo/mmbwn2.jpg,4,0.05,1,,0,1,NK
/Users/mac/Desktop/0_Solo/flowerc5.jpg,2,0.2,,,1,0,NK
